gene_symbol,translatedmRNA.apvEff,translatedmRNA.apvRvmPAdj,totalmRNA.apvEff,totalmRNA.apvRvmPAdj,translation.apvEff,translation.apvRvmPAdj,buffering.apvEff,buffering.apvRvmPAdj,singleRegMode
MRPL42,0.144328503,0.704544297,0.918371838,0.008418224,0.177438244,0.748370356,0.922683249,0.010246545,buffering
ENTPD7,0.414472031,0.387451075,0.419098239,0.384038952,0.124892748,0.756764915,0.031250383,0.939159891,background
RPS4X,0.42066946,0.342454129,1.025798319,0.016811307,0.247255015,0.655760618,0.95832927,0.029638303,buffering
ZNF84,-0.296837418,0.456479457,0.605956156,0.075616395,-0.476555544,0.276707157,0.683416005,0.050311268,buffering
SIRPA,-0.143977209,0.830742751,-0.804942307,0.028148992,0.434054005,0.578163879,-0.774206444,0.029485738,buffering
GRK6,0.554946389,0.330750073,-0.142552969,0.652234234,0.458330045,0.445983398,-0.055935762,0.869160377,background
PRIM1,0.843892162,0.036204176,1.630179499,0.032387278,0.825191956,0.075690328,1.566751643,0.062846706,abundance
5-Mar,-0.234705876,0.495266999,0.596443277,0.053368331,-0.6768845,0.043891357,0.771542735,0.009645441,background
CD2AP,1.150857213,0.069176076,1.001326998,0.008355227,0.00428038,0.995830602,0.668010933,0.045784042,abundance
ADH4,-3.260192676,0.000422139,-2.193002686,0.002826991,-1.24428648,0.011715295,0.992884209,0.016790448,translation
HIBCH,-0.708034094,0.106859458,0.046610161,0.883211029,-0.763815752,0.046792351,0.380616834,0.127208934,translation
ZNF544,1.128861927,0.08911365,0.725281743,0.075479658,0.324137418,0.61703252,0.2279522,0.517601505,abundance
SOWAHC,-0.178146809,0.807787933,-0.183406142,0.729080165,-0.06376374,0.936315455,-0.109503538,0.827878451,background
ZNF770,-0.108603013,0.755333968,0.844828739,0.021227764,-0.60016254,0.064033398,0.955296131,0.005309403,background
MIER1,-0.35048994,0.269468955,0.131665417,0.632129807,-0.398178899,0.206253537,0.228704505,0.374252166,translation
MAN1A2,0.22193545,0.518762393,0.474498216,0.138120309,0.084551058,0.838057456,0.391743591,0.210344548,background
ZNF251,0.888714807,0.034485659,0.716004876,0.072387324,0.75782009,0.099460157,0.494810087,0.255875774,abundance
DDRGK1,-0.038198281,0.929930029,-0.653249724,0.068651351,0.311386708,0.421344965,-0.631081782,0.054012744,background
HSD17B11,-1.027189738,0.015622446,0.278028461,0.555932413,-1.183329345,0.008599972,1.649070597,0.002358731,translation
SZT2,-0.567607985,0.155444332,-0.935653276,0.037008404,0.059924656,0.868666948,-0.312013687,0.287648292,abundance
QRICH1,0.189933158,0.540386497,0.342769469,0.160632562,-0.051359062,0.886864677,0.260357437,0.248321905,background
DDX42,0.288083011,0.300883225,0.515049322,0.034672329,0.115257372,0.748319981,0.455374387,0.055481659,background
SLC29A3,0.357279666,0.533176309,0.386140646,0.377356986,0.181053644,0.782000471,0.267804001,0.532904554,background
